date,DGS3MO,DGS5,DGS10
10/1/93,2.98,4.72,5.34
10/4/93,3.02,4.71,5.34
10/5/93,3.06,4.72,5.35
10/6/93,3.04,4.7,5.35
10/7/93,3.05,4.69,5.33
10/8/93,3.05,4.61,5.26
10/12/93,3.12,4.64,5.27
10/13/93,3.1,4.64,5.27
10/14/93,3.08,4.61,5.23
10/15/93,3.08,4.57,5.19
10/18/93,3.13,4.66,5.27
10/19/93,3.13,4.66,5.27
10/20/93,3.11,4.64,5.26
10/21/93,3.12,4.72,5.35
10/22/93,3.11,4.76,5.42
10/25/93,3.14,4.82,5.47
10/26/93,3.16,4.79,5.43
10/27/93,3.15,4.82,5.44
10/28/93,3.11,4.83,5.41
10/29/93,3.1,4.83,5.43
11/1/93,3.18,4.96,5.56
11/2/93,3.19,5.02,5.63
11/3/93,3.16,5.01,5.67
11/4/93,3.15,5.03,5.67
11/5/93,3.13,5.11,5.75
11/8/93,3.17,5.04,5.7
11/9/93,3.18,5.02,5.64
11/10/93,3.19,5.08,5.72
11/12/93,3.18,5.02,5.66
11/15/93,3.18,5.02,5.69
11/16/93,3.16,4.98,5.66
11/17/93,3.16,4.99,5.65
11/18/93,3.18,5.06,5.72
11/19/93,3.2,5.16,5.84
11/22/93,3.21,5.2,5.89
11/23/93,3.19,5.14,5.82
11/24/93,3.19,5.11,5.84
11/26/93,3.18,5.08,5.78
11/29/93,3.2,5.08,5.76
11/30/93,3.21,5.15,5.83
12/1/93,3.19,5.14,5.82
12/2/93,3.18,5.16,5.81
12/3/93,3.18,5.16,5.8
12/6/93,3.18,5.09,5.72
12/7/93,3.16,5.1,5.71
12/8/93,3.15,5.09,5.71
12/9/93,3.13,5.07,5.68
12/10/93,3.12,5.13,5.73
12/13/93,3.12,5.16,5.78
12/14/93,3.11,5.2,5.82
12/15/93,3.1,5.19,5.83
12/16/93,3.1,5.2,5.84
12/17/93,3.09,5.17,5.81
12/20/93,3.15,5.2,5.83
12/21/93,3.14,5.22,5.85
12/22/93,3.13,5.13,5.74
12/23/93,3.13,5.1,5.72
12/27/93,3.13,5.09,5.72
12/28/93,3.13,5.1,5.72
12/29/93,3.08,5.12,5.74
12/30/93,3.04,5.2,5.82
12/31/93,3.07,5.21,5.83
1/3/94,3.16,5.29,5.92
1/4/94,3.15,5.26,5.88
1/5/94,3.14,5.27,5.9
1/6/94,3.12,5.21,5.84
1/7/94,3.07,5.03,5.7
1/10/94,3.06,5.01,5.67
1/11/94,3.04,5,5.67
1/12/94,3.02,4.95,5.6
1/13/94,3.01,5.08,5.71
1/14/94,3.03,5.12,5.78
1/18/94,3.04,5.09,5.74
1/19/94,3.03,5.08,5.76
1/20/94,3.01,5.02,5.71
1/21/94,3.01,5.05,5.73
1/24/94,3.01,5.06,5.74
1/25/94,2.99,5.08,5.78
1/26/94,2.98,5.09,5.77
1/27/94,2.98,5.04,5.73
1/28/94,2.99,4.99,5.68
1/31/94,3.05,5.02,5.7
2/1/94,3.1,5.1,5.77
2/2/94,3.13,5.11,5.77
2/3/94,3.2,5.17,5.81
2/4/94,3.3,5.32,5.94
2/7/94,3.31,5.36,5.96
2/8/94,3.32,5.38,6.01
2/9/94,3.32,5.35,5.92
2/10/94,3.33,5.36,5.91
2/11/94,3.33,5.34,5.88
2/14/94,3.34,5.36,5.9
2/15/94,3.34,5.34,5.88
2/16/94,3.34,5.35,5.89
2/17/94,3.35,5.45,6
2/18/94,3.36,5.52,6.09
2/22/94,3.4,5.5,6.05
2/23/94,3.46,5.59,6.13
2/24/94,3.44,5.66,6.22
2/25/94,3.44,5.65,6.21
2/28/94,3.47,5.6,6.15
3/1/94,3.58,5.74,6.28
3/2/94,3.55,5.74,6.3
3/3/94,3.56,5.79,6.35
3/4/94,3.62,5.82,6.38
3/7/94,3.61,5.77,6.32
3/8/94,3.63,5.84,6.38
3/9/94,3.61,5.84,6.38
3/10/94,3.57,5.9,6.48
3/11/94,3.58,5.89,6.46
3/14/94,3.66,5.94,6.5
3/15/94,3.66,5.91,6.47
3/16/94,3.61,5.86,6.4
3/17/94,3.55,5.88,6.4
3/18/94,3.57,5.97,6.49
3/21/94,3.7,6.03,6.55
3/22/94,3.6,5.92,6.44
3/23/94,3.54,5.92,6.44
3/24/94,3.53,6.05,6.58
3/25/94,3.57,6.08,6.61
3/28/94,3.57,6.1,6.63
3/29/94,3.59,6.19,6.71
3/30/94,3.57,6.24,6.78
3/31/94,3.56,6.23,6.77
4/4/94,3.82,6.64,7.16
4/5/94,3.75,6.47,6.97
4/6/94,3.67,6.42,6.93
4/7/94,3.61,6.38,6.86
4/8/94,3.65,6.46,6.94
4/11/94,3.68,6.46,6.92
4/12/94,3.64,6.4,6.87
4/13/94,3.64,6.47,6.93
4/14/94,3.66,6.51,6.97
4/15/94,3.68,6.5,6.97
4/18/94,3.84,6.7,7.14
4/19/94,3.83,6.68,7.1
4/20/94,3.83,6.62,7.05
4/21/94,3.83,6.49,6.91
4/22/94,3.84,6.53,6.93
4/25/94,3.94,6.48,6.86
4/26/94,3.97,6.46,6.86
4/28/94,3.98,6.65,7.04
4/29/94,3.97,6.64,7.06
5/2/94,4.1,6.69,7.09
5/3/94,4.12,6.73,7.13
5/4/94,4.15,6.74,7.14
5/5/94,4.13,6.7,7.11
5/6/94,4.3,6.95,7.35
5/9/94,4.44,7.09,7.49
5/10/94,4.35,6.93,7.33
5/11/94,4.32,7.02,7.4
5/12/94,4.24,6.97,7.36
5/13/94,4.24,6.89,7.29
5/16/94,4.31,6.85,7.24
5/17/94,4.3,6.66,7.03
5/18/94,4.29,6.61,7.03
5/19/94,4.24,6.52,6.96
5/20/94,4.26,6.59,7.02
5/23/94,4.35,6.76,7.19
5/24/94,4.32,6.75,7.17
5/25/94,4.28,6.74,7.14
5/26/94,4.27,6.69,7.09
5/27/94,4.3,6.73,7.12
5/31/94,4.31,6.77,7.17
6/1/94,4.28,6.74,7.12
6/2/94,4.24,6.68,7.07
6/3/94,4.23,6.59,6.98
6/6/94,4.25,6.49,6.91
6/7/94,4.22,6.53,6.95
6/8/94,4.21,6.53,6.96
6/9/94,4.23,6.54,6.98
6/10/94,4.22,6.6,7.03
6/13/94,4.24,6.66,7.07
6/14/94,4.21,6.58,7
6/15/94,4.23,6.67,7.1
6/16/94,4.22,6.65,7.07
6/17/94,4.23,6.71,7.14
6/20/94,4.28,6.74,7.16
6/21/94,4.3,6.82,7.22
6/22/94,4.28,6.75,7.13
6/23/94,4.26,6.7,7.1
6/24/94,4.28,6.81,7.22
6/27/94,4.28,6.79,7.18
6/28/94,4.28,6.88,7.26
6/29/94,4.25,6.87,7.24
6/30/94,4.26,6.97,7.34
7/1/94,4.32,6.95,7.34
7/5/94,4.42,6.93,7.31
7/6/94,4.39,6.92,7.32
7/7/94,4.36,6.89,7.3
7/8/94,4.49,7.04,7.42
7/11/94,4.61,7.09,7.47
7/12/94,4.56,7.03,7.43
7/13/94,4.52,7.02,7.41
7/14/94,4.41,6.85,7.25
7/15/94,4.38,6.84,7.25
7/18/94,4.4,6.79,7.2
7/19/94,4.37,6.73,7.15
7/20/94,4.41,6.84,7.25
7/21/94,4.44,6.89,7.27
7/22/94,4.5,6.92,7.29
7/25/94,4.53,6.9,7.27
7/26/94,4.52,6.9,7.28
7/27/94,4.57,6.99,7.34
7/28/94,4.54,6.94,7.29
7/29/94,4.39,6.73,7.12
8/1/94,4.45,6.75,7.13
8/2/94,4.44,6.73,7.11
8/3/94,4.44,6.7,7.09
8/4/94,4.43,6.72,7.12
8/5/94,4.59,6.93,7.28
8/8/94,4.59,6.93,7.28
8/9/94,4.56,6.97,7.33
8/10/94,4.49,6.95,7.3
8/11/94,4.46,7,7.36
8/12/94,4.51,6.94,7.27
8/15/94,4.72,6.96,7.3
8/16/94,4.74,6.86,7.19
8/17/94,4.69,6.81,7.15
8/18/94,4.71,6.93,7.28
8/19/94,4.69,6.92,7.27
